Aguascalientes,98
Baja California,95.3
Baja California Sur,88.1
Campeche,85
Coahuila de Zaragoza,96.8
Colima,97.3
Chiapas,73.8
Chihuahua,94.9
Distrito Federal,97.5
Durango,92.9
Guanajuato,91.9
Guerrero,62
Hidalgo,87.2
Jalisco,94.6
México,92.2
Michoacán de Ocampo,88.1
Morelos,87.6
Nayarit,88.3
Nuevo León,96.9
Oaxaca,69.8
Puebla,83.8
Querétaro,91.9
Quintana Roo,91.7
San Luis Potosí,83.1
Sinaloa,90.3
Sonora,94.4
Tabasco,73.8
Tamaulipas,95.1
Tlaxcala,95.6
Veracruz de Ignacio de la Llave,76.3
Yucatán,94.4
Zacatecas,91.7
